firstname	lastname	age	team	games	at_bats	runs	hits	doubles	triples	homeruns	RBIs	walks	strikeouts	bat_ave 	on_base_pct  	slugging_pct 	stolen_bases	caught_stealing			xi*yi	xi^2					
#Carl	Everett	31	TEX	105	374	47	100	16	0	16	62	33	77	0.267	0.333	0.439	2	3			4.27	256.00					
Mike	Bordick	36	BAL	117	367	37	85	19	3	8	36	35	63	0.232	0.302	0.365	7	4			1.86	64.00					
Kevin	Mench	24	TEX	110	366	52	95	20	2	15	60	31	83	0.26	0.327	0.448	1	1			3.90	225.00					
Dan	Wilson	33	SEA	115	359	35	106	16	1	6	44	18	81	0.295	0.326	0.396	1	0			1.77	36.00					
Jared	Sandberg	24	TBD	102	358	55	82	21	1	18	54	39	139	0.229	0.305	0.444	3	2			4.12	324.00					
Rey	Sanchez	34	BOS	107	357	46	102	12	3	1	38	17	31	0.286	0.318	0.345	2	2			0.29	1.00					
Ricky	Gutierre	32	CLE	94	353	38	97	13	0	4	38	20	48	0.275	0.325	0.346	0	1			1.10	16.00					
*Kenny	Lofton	35	CHW	93	352	68	91	20	6	8	42	49	51	0.259	0.348	0.418	22	8			2.07	64.00					
Carlos	Febles	26	KCR	119	351	44	86	16	4	4	26	41	63	0.245	0.336	0.348	16	5			0.98	16.00					
Wendell	Magee	29	DET	97	347	34	94	19	1	6	35	10	64	0.271	0.289	0.383	2	4			1.63	36.00					
